"Country","Region","Year","Infant_deaths","Under_five_deaths","Adult_mortality","Alcohol_consumption","Hepatitis_B","Measles","BMI","Polio","Diphtheria","Incidents_HIV","GDP_per_capita","Population_mln","Thinness_ten_nineteen_years","Thinness_five_nine_years","Schooling","Economy_status_Developed","Economy_status_Developing","Life_expectancy"
"Zimbabwe","Africa",2009,54,91.3,551.9115,2.77,73,64,23.6,69,73,7.31,941,12.53,7.5,7.4,7.2,0,1,48.4
"Central African Republic","Africa",2011,96.7,140.5,463.613,1.97,47,64,22.5,47,47,1.78,550,4.42,8.8,8.8,3.7,0,1,48
"Zimbabwe","Africa",2004,51.2,92.4,686.639,2.48,68,64,23.4,67,65,9.75,1212,12.02,9.4,9.4,6.8,0,1,43.1
"Congo, Dem. Rep.","Africa",2000,106.5,159.3,344.252,2.05,69,64,20.7,42,40,1.07,351,47.11,12.4,12.3,3.3,0,1,50
"Eswatini","Africa",2007,59.3,103.8,579.801,6.34,92,99,26.1,88,87,18.67,3175,1.04,6.5,6.7,5.3,0,1,43.3
"Malawi","Africa",2000,100.5,174.6,570.551,1.36,79,64,21.7,73,75,9.54,294,11.15,8,7.9,3,0,1,45.1
"Central African Republic","Africa",2002,108.5,165.8,551.1775,1.6,45,64,21.7,42,44,3.64,477,3.8,1.2,1.2,3,0,1,44.1
"Chad","Africa",2005,92.4,166.9,404.29,0.46,27,64,21.3,37,25,0.96,676,10.1,1.5,1.4,1.5,0,1,48.5
"Malawi","Africa",2002,84.6,145.5,591.4675,1.25,64,64,21.9,79,64,8.06,271,11.71,7.7,7.6,3.2,0,1,45.5
"Angola","Africa",2002,114.5,191.5,350.8275,2.08,67,64,21.9,22,41,1.39,2031,17.52,1.5,1.5,4.4,0,1,47.7
"Zambia","Africa",2005,61.9,106.2,521.085,2.41,82,39,21.8,84,82,7.69,918,11.86,7.1,7,6.3,0,1,48.5
"Zimbabwe","Africa",2000,51.9,95.5,687.993,1.89,79,64,23.3,78,78,12.86,1697,11.88,11,11.2,6.5,0,1,44.6
"Chad","Africa",2004,93.9,170.4,407.207,0.42,27,64,21.2,31,21,1.04,598,9.73,1.7,1.6,1.4,0,1,48.3
"Cote d'Ivoire","Africa",2004,87.5,129.5,453.5475,0.85,67,64,23,76,67,2.65,1583,17.97,7.3,7.3,3.6,0,1,49.8
"Nigeria","Africa",2001,106.8,177.3,408.9835,11.17,29,64,22.4,36,27,1.29,1499,125.39,14.1,14.1,5.2,0,1,46.5
"Uganda","Africa",2003,74.7,123.5,485.3535,11.37,44,64,21.4,57,59,4.15,573,25.98,6.7,6.7,4.3,0,1,49.4
"Chad","Africa",2002,96.8,177.1,413.041,0.4,27,64,21.1,31,25,1.21,421,9.02,11.1,11,1.4,0,1,47.9
"Zambia","Africa",2001,85.3,146.9,598.586,2.8,81,39,21.6,86,85,9.38,794,10.69,7.4,7.4,6,0,1,44.6
"Malawi","Africa",2005,65,110.5,528.961,1.45,93,64,22.1,94,93,6.42,289,12.63,7.4,7.2,3.4,0,1,47.8
"Sierra Leone","Africa",2006,120.9,188.9,459.6215,3.68,75,60,22.4,65,64,1.36,476,5.83,9.1,9.1,2.8,0,1,45.5
"Central African Republic","Africa",2001,109.2,167.4,541.331,1.67,45,64,21.6,40,40,3.88,470,3.72,1.4,1.4,2.9,0,1,44.1
"Mali","Africa",2000,101.5,187.4,328.1605,0.58,78,64,21.5,53,43,1.07,572,10.95,11,1.9,1.2,0,1,48.1
"Eswatini","Africa",2009,57.9,96,531.8035,5.65,88,99,26.3,89,88,17.36,3206,1.06,5.8,5.9,5.6,0,1,45.3
