"Country","Region","Infant_deaths","Under_five_deaths","Adult_mortality","Alcohol_consumption","BMI","Incidents_HIV","Population_mln","Thinness_ten_nineteen_years","Thinness_five_nine_years","Schooling","Life_expectancy"
"Turkiye","Middle East",11.1,13,105.824,1.32,27.8,0.08,78.53,4.9,4.8,7.8,76.5
"Spain","European Union",2.7,3.3,57.9025,10.35,26,0.09,46.44,0.6,0.5,9.7,82.8
"India","Asia",51.5,67.9,201.0765,1.57,21.2,0.13,1183.21,27.1,28,5,65.4
"Guyana","South America",32.8,40.5,222.1965,5.68,25.3,0.79,0.75,5.7,5.5,7.9,67
"Israel","Middle East",3.4,4.3,57.951,2.89,27,0.08,7.91,1.2,1.1,12.8,81.7
"Costa Rica","Central America and Caribbean",9.8,11.2,95.22,4.19,26.4,0.16,4.35,2,1.9,7.9,78.2
"Russian Federation","Rest of Europe",6.6,8.2,223,8.06,26.2,0.08,144.1,2.3,2.3,12,71.2
"Hungary","European Union",8.7,10.1,192.969,12.23,25.9,0.08,10.21,2.3,2.3,10.2,71.2
"Jordan","Middle East",22,26.1,129.764,0.52,27.9,0.13,5.22,4,3.9,9.6,71.9
"Moldova","Rest of Europe",15.3,17.8,217.857,7.72,26.5,0.43,2.87,2.9,3.1,10.9,68.7
"Brazil","South America",15.4,17.2,150.2245,7.12,26.1,0.24,199.29,2.8,2.8,7.3,74.2
"Malta","European Union",6,6.8,58.0185,7.47,27.1,0.08,0.41,0.7,0.7,9.9,79.8
"Bahamas, The","Central America and Caribbean",13,15.2,165.538,9.23,27.6,0.46,0.36,2.5,2.5,11,72.3
"Ukraine","Rest of Europe",14.3,16.6,261.6095,7.13,25.8,0.55,48.2,2.9,3,10.5,68.3
"Switzerland","Rest of Europe",4.2,4.9,63.2435,10.24,25,0.08,7.48,0.6,0.4,12.3,81.5
"Norway","Rest of Europe",3.8,4.7,80.4955,5.49,25.7,0.03,4.51,0.8,0.7,12.1,78.8
"Finland","European Union",2.2,2.7,76.567,9.08,26,0.08,5.44,0.9,0.8,12.3,81
"Comoros","Africa",66.8,91.9,255.8815,0.15,23.5,0.02,0.64,7.3,7.2,3.5,60.7
"Japan","Asia",2.8,3.7,68.768,7.98,22.6,0.17,127.77,1.7,1.5,11.2,81.9
"Gabon","Africa",39.1,57.1,256.88,7.47,24.9,1.57,1.75,6.3,6.2,7.8,62.9
"Ghana","Africa",45.2,65.9,257.0865,1.67,23.7,0.93,25.39,6.9,6.8,6.8,61.4
"Philippines","Asia",28.2,36.9,214.2685,4.53,22.3,0.01,79.67,1,9.7,7.7,68.8
"Congo, Rep.","Africa",64.6,100.2,406.702,0.9,22.3,2.23,3.41,9.1,8.8,5.7,53.8
"Madagascar","Africa",45.8,67,237.6755,0.89,21.1,0.15,21.74,7.5,7.4,6.1,63.8
"Estonia","European Union",6.2,7.8,194.0975,15.52,25.8,0.08,1.36,2.2,2.3,12,71.9
"Belize","Central America and Caribbean",14.6,16.9,179.144,6.6,28.7,0.39,0.35,3.4,3.4,10.5,73.5
"Kazakhstan","Asia",25.6,29,270.9885,6.76,25.8,0.08,15.31,2.4,2.5,11.7,66.2
"Cameroon","Africa",57,88,340.1265,4.55,24.3,1.12,23.3,5.6,5.5,6.1,57.6
"Jordan","Middle East",19.2,22.5,121.011,0.55,28.3,0.13,5.99,3.9,3.8,9.8,72.8
"Zimbabwe","Africa",54,91.3,551.9115,2.77,23.6,7.31,12.53,7.5,7.4,7.2,48.4
"Bhutan","Asia",44.7,57.5,253.2655,0.73,22.8,0.19,0.65,17.8,18.6,2.3,65.3
"Switzerland","Rest of Europe",3.9,4.6,56.9105,10.01,25.1,0.06,7.82,0.5,0.4,13.3,82.2
"South Africa","Africa",48.7,79.2,515.718,7.3,26.6,11.13,48.49,1.6,12.8,9,53.8
"Jordan","Middle East",16.2,19,113.2855,0.36,28.7,0.13,8.09,3.9,3.9,9.9,73.7
"Eritrea","Africa",36.8,51.2,274.029,1.03,20.6,0.18,3.28,8.7,8.6,3.9,63.2
"Germany","European Union",3.5,4.2,77.604,11.58,26.3,0.03,81.78,1.1,1.1,13.8,80
"Saudi Arabia","Middle East",8.3,9.6,89.12,0,28.3,0.13,30.92,7.7,7.5,9.5,74.5
"Kiribati","Oceania",49.4,64.6,214.7745,0.49,29.1,0.17,0.09,0.2,0.2,7.2,64.2
"Seychelles","Africa",12.2,14.2,154.4505,7.83,26.3,3.5,0.09,5.7,6.1,8.4,72.7
"Madagascar","Africa",44.6,64.8,232.446,0.85,21.1,0.18,22.35,7.4,7.3,6.1,64.3
"Singapore","Asia",2.2,2.7,52.393,1.84,23.6,0.08,5.47,2.2,2.2,11.4,82.5
"Togo","Africa",61.4,94.4,318.7475,1.44,22.9,1.45,6.08,7.7,7.6,4.3,56.2
"Denmark","European Union",3.6,4.2,85.8135,10.08,25.3,0.04,5.52,1.1,0.9,12.7,78.6
"Gambia, The","Africa",39.7,59.8,261.7065,2.69,23.9,0.96,2.09,7.3,7.2,3.4,60.9
"Costa Rica","Central America and Caribbean",7.9,9.3,87.237,3.12,27.2,0.19,4.8,1.7,1.7,8.6,79.4
"Belize","Central America and Caribbean",16.2,18.9,181.584,6.47,28.4,0.37,0.32,3.5,3.4,10.5,72.1
"Sweden","European Union",2.5,3.1,57.492,7.38,25.8,0.08,9.38,1.3,1.3,12.3,81.5
"Austria","European Union",3.1,3.8,65.815,12.4,25.5,0.08,8.55,1.8,2,12.1,81.5
"Kyrgyz Republic","Asia",23.2,26.1,183.8625,5.98,26.1,0.14,5.61,3.2,3.3,10.7,70
"Grenada","Central America and Caribbean",13.8,15.8,143.8315,7.81,26.7,0.4,0.11,3.8,3.8,8.5,72.6
"Brunei Darussalam","Asia",7.9,9.7,91.9455,0.25,26.4,0.1,0.39,5.9,5.4,8.8,74.7
"Greece","European Union",3.4,3.9,75.948,8.32,27,0.09,11.11,0.8,0.7,10.1,80.2
"Norway","Rest of Europe",2.7,3.3,64.862,6.59,26.4,0.04,4.89,0.7,0.7,12.7,81
"Uruguay","South America",11.7,13.5,116.762,6.45,26.3,0.2,3.33,1.6,1.6,8,76
"Croatia","European Union",5.5,6.4,109.298,10.98,26.2,0.02,4.31,1.8,1.8,9.9,75.8
"Romania","European Union",11.9,14,151.8615,12.38,25.8,0.04,20.54,3.1,3.5,10.6,72.6
"Central African Republic","Africa",96.7,140.5,463.613,1.97,22.5,1.78,4.42,8.8,8.8,3.7,48
"Algeria","Africa",21.6,25.2,95.8155,0.55,25.5,0.05,39.73,6,5.8,7.9,76.1
"Yemen, Rep.","Middle East",45.3,58.5,231.9445,0.04,23.4,0.03,23.81,13.7,13.6,2.8,65.8
"Armenia","Rest of Europe",17.2,19.2,139.3615,3.97,26,0.08,2.89,2,2.1,11.1,73.1
"Zimbabwe","Africa",51.2,92.4,686.639,2.48,23.4,9.75,12.02,9.4,9.4,6.8,43.1
"St. Vincent and the Grenadines","Central America and Caribbean",19,21.7,179.187,5.47,25.8,0.4,0.11,3.8,3.8,7.8,71.1
"Kenya","Africa",43.7,68,345.5865,1.2,22.6,2.73,38.71,8.4,8.3,6,57.5
"Micronesia, Fed. Sts.","Oceania",29,35.2,180.9535,3.16,28.9,0.17,0.11,0.2,0.2,5.5,65.1
