"Country","Region","Life_expectancy","Life-Expectancy (High/Low/Avg)"
"Comoros","Africa",60.7,"Average"
"Gabon","Africa",62.9,"Average"
"Ghana","Africa",61.4,"Average"
"Congo, Rep.","Africa",53.8,"Average"
"Madagascar","Africa",63.8,"Average"
"Cameroon","Africa",57.6,"Average"
"Zimbabwe","Africa",48.4,"Average"
"South Africa","Africa",53.8,"Average"
"Eritrea","Africa",63.2,"Average"
"Seychelles","Africa",72.7,"High"
"Madagascar","Africa",64.3,"Average"
"Togo","Africa",56.2,"Average"
"Gambia, The","Africa",60.9,"Average"
"Central African Republic","Africa",48,"Average"
"Algeria","Africa",76.1,"High"
"Zimbabwe","Africa",43.1,"Average"
"Kenya","Africa",57.5,"Average"
"Kenya","Africa",61.9,"Average"
"Mauritania","Africa",60.9,"Average"
"Somalia","Africa",53.3,"Average"
"Ghana","Africa",60.6,"Average"
"Somalia","Africa",52.7,"Average"
"Guinea-Bissau","Africa",54.6,"Average"
"Congo, Dem. Rep.","Africa",50,"Average"
"Namibia","Africa",56.7,"Average"
"Mauritania","Africa",61.2,"Average"
"Eswatini","Africa",43.3,"Average"
"Nigeria","Africa",51.3,"Average"
"Burundi","Africa",53.4,"Average"
"Gambia, The","Africa",59.3,"Average"
"Madagascar","Africa",65.5,"Average"
"Morocco","Africa",69.8,"Average"
"Congo, Rep.","Africa",52.5,"Average"
"Gabon","Africa",58,"Average"
"Zambia","Africa",60.8,"Average"
"Eswatini","Africa",55.4,"Average"
"Togo","Africa",53.5,"Average"
"Egypt, Arab Rep.","Africa",68.8,"Average"
"Comoros","Africa",59.5,"Average"
"Botswana","Africa",51.2,"Average"
"Malawi","Africa",45.1,"Average"
"Egypt, Arab Rep.","Africa",69.3,"Average"
"Central African Republic","Africa",44.1,"Average"
"Botswana","Africa",67.3,"Average"
"Chad","Africa",48.5,"Average"
"Malawi","Africa",45.5,"Average"
"Sierra Leone","Africa",51,"Average"
"Mali","Africa",52.1,"Average"
"Angola","Africa",47.7,"Average"
"Zambia","Africa",48.5,"Average"
"Zimbabwe","Africa",44.6,"Average"
"Chad","Africa",48.3,"Average"
"Tanzania","Africa",62.3,"Average"
"Djibouti","Africa",60.7,"Average"
"Congo, Dem. Rep.","Africa",59.3,"Average"
"Cote d'Ivoire","Africa",49.8,"Average"
"Nigeria","Africa",46.5,"Average"
"Djibouti","Africa",57.1,"Average"
"Namibia","Africa",50.6,"Average"
"Cabo Verde","Africa",69.1,"Average"
"Uganda","Africa",49.4,"Average"
"Cabo Verde","Africa",68.6,"Average"
"Senegal","Africa",60.6,"Average"
"Cameroon","Africa",53.7,"Average"
"Angola","Africa",59.4,"Average"
"Senegal","Africa",61.4,"Average"
"Niger","Africa",56.6,"Average"
"Tunisia","Africa",75,"High"
"Chad","Africa",47.9,"Average"
"Libya","Africa",72,"High"
"Madagascar","Africa",61.7,"Average"
"Zimbabwe","Africa",52.9,"Average"
"Senegal","Africa",65.9,"Average"
"Liberia","Africa",51.7,"Average"
"Ethiopia","Africa",63.3,"Average"
"Benin","Africa",58.7,"Average"
"Congo, Dem. Rep.","Africa",53.7,"Average"
"Seychelles","Africa",71.1,"High"
"Comoros","Africa",59.7,"Average"
"Mauritania","Africa",60.8,"Average"
"Tanzania","Africa",56.8,"Average"
"Congo, Rep.","Africa",54.7,"Average"
"Seychelles","Africa",72.2,"High"
"Rwanda","Africa",58.9,"Average"
"Guinea-Bissau","Africa",51.5,"Average"
"Chad","Africa",53.1,"Average"
"Gabon","Africa",62.2,"Average"
"Somalia","Africa",50.9,"Average"
"Gambia, The","Africa",58.3,"Average"
"Niger","Africa",58.8,"Average"
"Equatorial Guinea","Africa",54.1,"Average"
"Zambia","Africa",44.6,"Average"
"Eritrea","Africa",58.7,"Average"
"Guinea-Bissau","Africa",57,"Average"
"Mali","Africa",56.6,"Average"
"Guinea-Bissau","Africa",52.3,"Average"
"Malawi","Africa",47.8,"Average"
"Zambia","Africa",57.1,"Average"
"Equatorial Guinea","Africa",55.9,"Average"
"Congo, Dem. Rep.","Africa",57.9,"Average"
"Libya","Africa",71.9,"High"
"Sierra Leone","Africa",45.5,"Average"
"Congo, Rep.","Africa",55.6,"Average"
"Mozambique","Africa",50.9,"Average"
"Central African Republic","Africa",44.1,"Average"
"Ethiopia","Africa",61.6,"Average"
"Niger","Africa",50.6,"Average"
"Morocco","Africa",74.4,"High"
"Benin","Africa",58.3,"Average"
"Mali","Africa",48.1,"Average"
"Namibia","Africa",60.5,"Average"
"Djibouti","Africa",59.6,"Average"
"Seychelles","Africa",73.1,"High"
"Uganda","Africa",59,"Average"
"Eswatini","Africa",45.3,"Average"
"Nigeria","Africa",47.2,"Average"
"Mauritania","Africa",61.3,"Average"
"Equatorial Guinea","Africa",56.3,"Average"
"Namibia","Africa",50.9,"Average"
"Equatorial Guinea","Africa",54.6,"Average"
"Gabon","Africa",58.6,"Average"
"Lesotho","Africa",43.1,"Average"
"Uganda","Africa",47.2,"Average"
"Libya","Africa",72,"High"
"Guinea","Africa",59.6,"Average"
"Central African Republic","Africa",45.2,"Average"
"Equatorial Guinea","Africa",54.3,"Average"
"Congo, Rep.","Africa",59.3,"Average"
"Cameroon","Africa",52.8,"Average"
"Congo, Dem. Rep.","Africa",55.7,"Average"
"Mozambique","Africa",56.1,"Average"
"Congo, Dem. Rep.","Africa",58.4,"Average"
"Djibouti","Africa",57,"Average"
"Benin","Africa",60.1,"Average"
"Mauritania","Africa",60.7,"Average"
"Cameroon","Africa",53.2,"Average"
"Cabo Verde","Africa",69.9,"Average"
"Botswana","Africa",53.4,"Average"
"Mauritius","Africa",73,"High"
"Benin","Africa",60.6,"Average"
"Gambia, The","Africa",60.7,"Average"
"Algeria","Africa",74.6,"High"
"Burundi","Africa",59.7,"Average"
"Central African Republic","Africa",46.2,"Average"
"Togo","Africa",59.2,"Average"
"Mauritania","Africa",63.7,"Average"
"Rwanda","Africa",64.5,"Average"
"Mauritius","Africa",72.1,"High"
"Djibouti","Africa",58,"Average"
"Equatorial Guinea","Africa",53.6,"Average"
"Gambia, The","Africa",56.4,"Average"
"Burundi","Africa",58.6,"Average"
"Angola","Africa",52.2,"Average"
"Angola","Africa",51.1,"Average"
"Ghana","Africa",58.7,"Average"
"Chad","Africa",52.8,"Average"
"Somalia","Africa",54,"Average"
"Eritrea","Africa",64.7,"Average"
"Guinea","Africa",54.9,"Average"
"Burkina Faso","Africa",50.9,"Average"
"Cabo Verde","Africa",71.1,"High"
"Ethiopia","Africa",56.2,"Average"
"Namibia","Africa",61.4,"Average"
"Equatorial Guinea","Africa",55.3,"Average"
"Nigeria","Africa",46.8,"Average"
"Senegal","Africa",64.3,"Average"
"Egypt, Arab Rep.","Africa",70.5,"High"
"Angola","Africa",47.1,"Average"
"Algeria","Africa",75.7,"High"
"Cameroon","Africa",54.6,"Average"
"Cameroon","Africa",57.1,"Average"
"Lesotho","Africa",51,"Average"
"Rwanda","Africa",53.6,"Average"
"Mozambique","Africa",52.3,"Average"
"Liberia","Africa",56.4,"Average"
"Namibia","Africa",51.4,"Average"
"Uganda","Africa",59.9,"Average"
"Cameroon","Africa",55.1,"Average"
"Djibouti","Africa",57.2,"Average"
"South Africa","Africa",53.4,"Average"
"Nigeria","Africa",50.9,"Average"
"Central African Republic","Africa",44.4,"Average"
"Djibouti","Africa",57.4,"Average"
"Rwanda","Africa",49.9,"Average"
"Ghana","Africa",62.1,"Average"
"Namibia","Africa",50.6,"Average"
"Togo","Africa",53.9,"Average"
"Uganda","Africa",51.7,"Average"
"Zimbabwe","Africa",43.2,"Average"
"Burkina Faso","Africa",52.6,"Average"
"Nigeria","Africa",48.3,"Average"
"Kenya","Africa",59.9,"Average"
"Lesotho","Africa",43.4,"Average"
"Burundi","Africa",49.1,"Average"
"Malawi","Africa",62,"Average"
"Guinea","Africa",53.2,"Average"
"Comoros","Africa",63.2,"Average"
"Rwanda","Africa",66.2,"Average"
"Tanzania","Africa",51.4,"Average"
"Morocco","Africa",69.2,"Average"
"Tanzania","Africa",58.6,"Average"
"Rwanda","Africa",57.1,"Average"
