"Country","Region","Life_expectancy","Life-Expectancy (High/Low/Avg)"
"Mexico","North America",74.9,"High"
"United States","North America",76.6,"High"
"Mexico","North America",75.1,"High"
"Canada","North America",81,"High"
"Mexico","North America",74.9,"High"
"United States","North America",78.7,"High"
"Canada","North America",79.3,"High"
"United States","North America",78.4,"High"
"Canada","North America",81.9,"High"
"United States","North America",76.8,"High"
"Canada","North America",81.6,"High"
"Mexico","North America",75.3,"High"
"United States","North America",78.6,"High"
"Canada","North America",79.5,"High"
"Canada","North America",81.8,"High"
"United States","North America",77,"High"
"Canada","North America",81.2,"High"
"Canada","North America",80.7,"High"
"United States","North America",78,"High"
"Canada","North America",79.7,"High"
"Canada","North America",79.9,"High"
"Canada","North America",80.2,"High"
"Canada","North America",81.7,"High"
"United States","North America",78.8,"High"
"Mexico","North America",75,"High"
"Canada","North America",80.5,"High"
"United States","North America",76.9,"High"
"United States","North America",78.7,"High"
"Canada","North America",80.3,"High"
"Canada","North America",81.4,"High"
"United States","North America",78.5,"High"
"Mexico","North America",75.1,"High"
"Mexico","North America",74.7,"High"
"Mexico","North America",75.3,"High"
"Mexico","North America",75.3,"High"
"United States","North America",78,"High"
"United States","North America",78.7,"High"
"United States","North America",77.7,"High"
"Mexico","North America",75.2,"High"
"Mexico","North America",75.2,"High"
"Mexico","North America",74.9,"High"
"Mexico","North America",75.1,"High"
"Mexico","North America",75,"High"
"Mexico","North America",74.9,"High"
"Canada","North America",79.1,"High"
"United States","North America",77.5,"High"
"Mexico","North America",74.3,"High"
"United States","North America",77.5,"High"
