"Country","Region","Year","Infant_deaths","Under_five_deaths","Adult_mortality","Alcohol_consumption","Hepatitis_B","Measles","BMI","Polio","Diphtheria","Incidents_HIV","GDP_per_capita","Population_mln","Thinness_ten_nineteen_years","Thinness_five_nine_years","Schooling","Economy_status_Developed","Economy_status_Developing","Life_expectancy","Life-Expectancy (High/Low/Avg)"
"Mexico","North America",2002,21.9,26,126.16,4.92,97,89,26.9,98,97,0.15,8581,101.68,1.9,1.8,7,0,1,74.9,"High"
"United States","North America",2000,7.1,8.4,113.6425,8.3,90,86,27.5,90,94,0.13,48746,282.16,0.8,0.7,12.7,1,0,76.6,"High"
"Mexico","North America",2009,17,19.9,119.005,4.37,95,92,27.5,95,95,0.16,8569,112.46,1.7,1.6,8.2,0,1,75.1,"High"
"Canada","North America",2009,5,5.8,71.2685,8.4,42,84,26.8,93,91,0.1,40368,33.63,0.5,0.4,12.5,1,0,81,"High"
"Mexico","North America",2015,13.9,16.2,110.8405,4.24,82,96,27.9,87,87,0.16,9617,121.86,1.5,1.5,8.6,0,1,74.9,"High"
"United States","North America",2012,6,7.1,104.536,8.85,90,86,28.6,93,94,0.13,54213,313.88,0.7,0.6,13.3,1,0,78.7,"High"
"Canada","North America",2001,5.3,6.2,79.395,7.6,14,84,26.4,88,89,0.1,34227,31.02,0.5,0.4,11.2,1,0,79.3,"High"
"United States","North America",2009,6.4,7.5,107.0105,8.67,92,86,28.4,93,95,0.13,51996,306.77,0.7,0.6,13.2,1,0,78.4,"High"
"Canada","North America",2015,4.7,5.4,65.9695,8,55,86,26.9,91,91,0.1,43596,35.7,0.6,0.5,13.1,1,0,81.9,"High"
"United States","North America",2001,7,8.3,114.2395,8.25,89,86,27.7,89,94,0.13,48727,284.97,0.8,0.6,12.7,1,0,76.8,"High"
"Canada","North America",2012,4.9,5.6,67.445,8.3,70,83,26.9,91,95,0.1,42316,34.71,0.5,0.5,12.8,1,0,81.6,"High"
"Mexico","North America",2007,18.2,21.3,121.657,4.24,98,85,27.3,98,98,0.15,9214,109.17,1.7,1.7,8,0,1,75.3,"High"
"United States","North America",2011,6.1,7.2,105.032,8.66,91,86,28.6,94,96,0.13,53395,311.58,0.7,0.6,13.3,1,0,78.6,"High"
"Canada","North America",2002,5.3,6.2,78.1635,7.7,14,85,26.4,88,88,0.1,35016,31.36,0.5,0.4,11.5,1,0,79.5,"High"
"Canada","North America",2014,4.7,5.4,66.418,8.1,55,86,26.9,91,91,0.1,43635,35.44,0.5,0.5,13,1,0,81.8,"High"
"United States","North America",2003,6.9,8.1,113.733,8.4,92,86,27.9,91,96,0.13,50036,290.11,0.7,0.6,12.8,1,0,77,"High"
"Canada","North America",2010,5,5.7,69.0295,8.4,56,85,26.8,90,89,0.1,41155,34,0.5,0.4,12.6,1,0,81.2,"High"
"Canada","North America",2008,5.1,5.9,72.9125,8.4,28,85,26.8,96,92,0.1,42064,33.25,0.5,0.4,12.4,1,0,80.7,"High"
"United States","North America",2007,6.6,7.7,109.026,8.74,93,86,28.3,93,96,0.13,54300,301.23,0.7,0.6,12.9,1,0,78,"High"
"Canada","North America",2003,5.3,6.2,77.6255,7.7,14,84,26.5,88,91,0.1,36024,31.64,0.5,0.4,11.7,1,0,79.7,"High"
"Canada","North America",2004,5.3,6.1,75.8795,7.8,14,84,26.6,91,91,0.1,37086,31.94,0.5,0.4,12,1,0,79.9,"High"
"Canada","North America",2005,5.2,6.1,75.7275,8,14,85,26.6,93,93,0.1,38573,32.24,0.5,0.4,12.2,1,0,80.2,"High"
"Canada","North America",2013,4.8,5.5,66.0915,8.2,55,86,26.9,91,91,0.1,42846,35.08,0.5,0.5,12.9,1,0,81.7,"High"
"United States","North America",2014,5.9,6.9,105.6355,8.78,92,86,28.8,93,95,0.12,55675,318.39,0.8,0.6,13.3,1,0,78.8,"High"
"Mexico","North America",2012,15.4,17.9,115.0265,3.86,99,92,27.7,99,99,0.16,9280,117.27,1.6,1.5,8.6,0,1,75,"High"
"Canada","North America",2007,5.1,6,73.6155,8.3,14,85,26.7,99,94,0.1,42097,32.89,0.5,0.4,12.4,1,0,80.5,"High"
"United States","North America",2002,6.9,8.2,114.049,8.33,88,86,27.8,90,94,0.13,49095,287.63,0.8,0.6,12.7,1,0,76.9,"High"
"United States","North America",2013,6,7,104.681,8.81,91,86,28.7,93,94,0.12,54831,316.06,0.7,0.6,13.2,1,0,78.7,"High"
"Canada","North America",2006,5.2,6,73.8445,8.2,14,84,26.7,95,95,0.1,39776,32.57,0.5,0.4,12.3,1,0,80.3,"High"
"Canada","North America",2011,4.9,5.7,67.7935,8.2,70,85,26.8,87,87,0.1,42037,34.34,0.5,0.5,12.7,1,0,81.4,"High"
"United States","North America",2010,6.2,7.3,104.5215,8.56,92,86,28.5,93,95,0.13,52963,309.33,0.7,0.6,13.2,1,0,78.5,"High"
"Mexico","North America",2010,16.4,19.2,117.679,4.05,93,91,27.5,95,95,0.16,8879,114.09,1.6,1.6,8,0,1,75.1,"High"
"Mexico","North America",2001,22.8,27.1,127.9115,5.02,97,99,26.8,97,97,0.15,8703,100.3,1.9,1.9,6.8,0,1,74.7,"High"
"Mexico","North America",2005,19.5,22.9,123.4585,5.03,98,97,27.2,98,98,0.15,8878,106.01,1.8,1.7,7.6,0,1,75.3,"High"
"Mexico","North America",2006,18.8,22.1,122.558,5.2,98,91,27.2,98,98,0.16,9143,107.56,1.8,1.7,8,0,1,75.3,"High"
"United States","North America",2008,6.5,7.6,107.758,8.74,94,86,28.4,94,96,0.13,53854,304.09,0.7,0.6,13.2,1,0,78,"High"
"United States","North America",2015,5.8,6.8,107.377,8.78,92,86,28.8,93,95,0.12,56763,320.74,0.8,0.6,13.3,1,0,78.7,"High"
"United States","North America",2006,6.7,7.9,111.0235,8.63,93,86,28.2,93,96,0.13,53738,298.38,0.7,0.6,12.8,1,0,77.7,"High"
"Mexico","North America",2008,17.6,20.6,120.3315,4.27,97,94,27.4,96,96,0.16,9181,110.82,1.7,1.6,8,0,1,75.2,"High"
"Mexico","North America",2004,20.2,23.9,124.359,5,98,97,27.1,98,98,0.15,8801,104.51,1.8,1.8,7.4,0,1,75.2,"High"
"Mexico","North America",2013,14.9,17.3,113.631,3.81,82,76,27.7,83,83,0.16,9283,118.83,1.6,1.5,8.4,0,1,74.9,"High"
"Mexico","North America",2003,21,24.9,125.2595,5.01,98,96,27,98,98,0.15,8587,103.08,1.9,1.8,7.1,0,1,75.1,"High"
"Mexico","North America",2011,15.9,18.5,116.3525,4,98,97,27.6,97,97,0.16,9076,115.7,1.6,1.6,8.4,0,1,75,"High"
"Mexico","North America",2014,14.4,16.8,112.2355,3.94,84,95,27.8,87,87,0.16,9426,120.36,1.6,1.5,8.4,0,1,74.9,"High"
"Canada","North America",2000,5.3,6.2,80.9805,7.6,14,84,26.3,88,89,0.1,34122,30.69,0.5,0.5,11,1,0,79.1,"High"
"United States","North America",2004,6.8,8.1,111.0145,8.48,92,86,28,92,96,0.13,51485,292.81,0.7,0.6,12.8,1,0,77.5,"High"
"Mexico","North America",2000,23.8,28.4,129.6625,5.16,97,98,26.7,97,97,0.15,8862,98.9,2,1.9,6.7,0,1,74.3,"High"
"United States","North America",2005,6.7,8,111.738,8.55,93,86,28.1,92,96,0.13,52790,295.52,0.7,0.6,12.8,1,0,77.5,"High"
