"Airport ID","Name","City","Country","IATA","ICAO","Latitude","Longitude","Altitude","Timezone","DST","Tz database time zone","Type","Source","Change","Percentage","Increase/Decrease"
1,"Goroka Airport","Goroka","Papua New Guinea","GKA","AYGA",-6.0816898345900015,145.391998291,5282,"10","U","Pacific/Port_Moresby","airport","OurAirports",-151.47368812559,-1429.0134697129483,"Decrease"
2,"Madang Airport","Madang","Papua New Guinea","MAG","AYMD",-5.20707988739,145.789001465,20,"10","U","Pacific/Port_Moresby","airport","OurAirports",-150.99608135239,-1428.891788270171,"Decrease"
3,"Mount Hagen Kagamuga Airport","Mount Hagen","Papua New Guinea","HGU","AYMH",-5.826789855957031,144.29600524902344,5388,"10","U","Pacific/Port_Moresby","airport","OurAirports",-150.12279510498047,-1417.1958154375625,"Decrease"
4,"Nadzab Airport","Nadzab","Papua New Guinea","LAE","AYNZ",-6.569803,146.725977,239,"10","U","Pacific/Port_Moresby","airport","OurAirports",-153.29578,-1443.9263793336438,"Decrease"
5,"Port Moresby Jacksons International Airport","Port Moresby","Papua New Guinea","POM","AYPY",-9.443380355834961,147.22000122070312,146,"10","U","Pacific/Port_Moresby","airport","OurAirports",-156.6633815765381,-1455.6102556078768,"Decrease"
6,"Wewak International Airport","Wewak","Papua New Guinea","WWK","AYWK",-3.5838301181800003,143.66900634799998,19,"10","U","Pacific/Port_Moresby","airport","OurAirports",-147.25283646617999,-1395.6019450116612,"Decrease"
7,"Narsarsuaq Airport","Narssarssuaq","Greenland","UAK","BGBW",61.1604995728,-45.4259986877,112,"-3","E","America/Godthab","airport","OurAirports",106.58649826050001,456.0027211418441,"Increase"
8,"Godthaab / Nuuk Airport","Godthaab","Greenland","GOH","BGGH",64.19090271,-51.678100585900005,283,"-3","E","America/Godthab","airport","OurAirports",115.8690032959,518.5860747769333,"Increase"
9,"Kangerlussuaq Airport","Sondrestrom","Greenland","SFJ","BGSF",67.0122218992,-50.7116031647,165,"-3","E","America/Godthab","airport","OurAirports",117.7238250639,508.87278320257417,"Increase"
10,"Thule Air Base","Thule","Greenland","THU","BGTL",76.5311965942,-68.70320129390001,251,"-4","E","America/Thule","airport","OurAirports",145.2343978881,688.9297279147398,"Increase"
11,"Akureyri Airport","Akureyri","Iceland","AEY","BIAR",65.66000366210939,-18.07270050048828,6,"0","N","Atlantic/Reykjavik","airport","OurAirports",83.73270416259767,182.00225172270956,"Increase"
12,"EgilsstaÃ°ir Airport","Egilsstadir","Iceland","EGS","BIEG",65.28330230712889,-14.401399612426758,76,"0","N","Atlantic/Reykjavik","airport","OurAirports",79.68470191955565,145.23459464032723,"Increase"
13,"HornafjÃ¶rÃ°ur Airport","Hofn","Iceland","HFN","BIHN",64.295601,-15.2272,24,"0","N","Atlantic/Reykjavik","airport","OurAirports",79.522801,153.50883113250623,"Increase"
14,"HÃºsavÃ­k Airport","Husavik","Iceland","HZK","BIHU",65.952301,-17.426001,48,"0","N","Atlantic/Reykjavik","airport","OurAirports",83.378302,175.5242312740993,"Increase"
15,"Ã�safjÃ¶rÃ°ur Airport","Isafjordur","Iceland","IFJ","BIIS",66.05809783935547,-23.13529968261719,8,"0","N","Atlantic/Reykjavik","airport","OurAirports",89.19339752197266,232.70322337582036,"Increase"
16,"Keflavik International Airport","Keflavik","Iceland","KEF","BIKF",63.985000610352,-22.605600357055998,171,"0","N","Atlantic/Reykjavik","airport","OurAirports",86.590600967408,227.409298876357,"Increase"
17,"PatreksfjÃ¶rÃ°ur Airport","Patreksfjordur","Iceland","PFJ","BIPA",65.555801,-23.965,11,"0","N","Atlantic/Reykjavik","airport","OurAirports",89.520801,241.01556642790467,"Increase"
18,"Reykjavik Airport","Reykjavik","Iceland","RKV","BIRK",64.1299972534,-21.9405994415,48,"0","N","Atlantic/Reykjavik","airport","OurAirports",86.0705966949,220.74812135061808,"Increase"
19,"SiglufjÃ¶rÃ°ur Airport","Siglufjordur","Iceland","SIJ","BISI",66.133301,-18.9167,10,"0","N","Atlantic/Reykjavik","airport","OurAirports",85.05000100000001,190.45303895033152,"Increase"
20,"Vestmannaeyjar Airport","Vestmannaeyjar","Iceland","VEY","BIVM",63.42430114746094,-20.27890014648437,326,"0","N","Atlantic/Reykjavik","airport","OurAirports",83.70320129394531,204.10873538038717,"Increase"
21,"Sault Ste Marie Airport","Sault Sainte Marie","Canada","YAM","CYAM",46.48500061035156,-84.5093994140625,630,"-5","A","America/Toronto","airport","OurAirports",130.99440002441406,847.9119870050855,"Increase"
22,"Winnipeg / St. Andrews Airport","Winnipeg","Canada","\N","CYAV",50.0564002991,-97.0325012207,760,"-6","A","America/Winnipeg","airport","OurAirports",147.0889015198,973.2634756330735,"Increase"
23,"Halifax / CFB Shearwater Heliport","Halifax","Canada","\N","CYAW",44.639702,-63.499401,144,"-4","A","America/Halifax","airport","OurAirports",108.139103,637.4164971169615,"Increase"
24,"St. Anthony Airport","St. Anthony","Canada","YAY","CYAY",51.391899108900006,-56.083099365200006,108,"-3.5","A","America/St_Johns","airport","OurAirports",107.4749984741,562.9222765261036,"Increase"
25,"Tofino / Long Beach Airport","Tofino","Canada","YAZ","CYAZ",49.079833,-125.77558300000001,80,"-8","A","America/Vancouver","airport","OurAirports",174.85541600000002,1261.3185034100745,"Increase"
26,"Kugaaruk Airport","Pelly Bay","Canada","YBB","CYBB",68.534401,-89.808098,56,"-7","A","America/Edmonton","airport","OurAirports",158.342499,900.3913890309332,"Increase"
27,"Baie Comeau Airport","Baie Comeau","Canada","YBC","CYBC",49.13249969482422,-68.20439910888672,71,"-5","A","America/Toronto","airport","OurAirports",117.33689880371094,684.4321638773987,"Increase"
28,"CFB Bagotville","Bagotville","Canada","YBG","CYBG",48.33060073852539,-70.99639892578125,522,"-5","A","America/Toronto","airport","OurAirports",119.32699966430664,712.4329633206403,"Increase"
29,"Baker Lake Airport","Baker Lake","Canada","YBK","CYBK",64.29889678960001,-96.077796936,59,"-6","A","America/Winnipeg","airport","OurAirports",160.3766937256,963.2722064578835,"Increase"
30,"Campbell River Airport","Campbell River","Canada","YBL","CYBL",49.95080184936523,-125.27100372314452,346,"-8","A","America/Vancouver","airport","OurAirports",175.22180557250974,1256.2179249746873,"Increase"
31,"Brandon Municipal Airport","Brandon","Canada","YBR","CYBR",49.91,-99.951897,1343,"-6","A","America/Winnipeg","airport","OurAirports",149.861897,1002.5216126968544,"Increase"
32,"Cambridge Bay Airport","Cambridge Bay","Canada","YCB","CYCB",69.1081008911,-105.13800048799999,90,"-7","A","America/Edmonton","airport","OurAirports",174.24610137909997,1053.9013605406578,"Increase"
33,"Nanaimo Airport","Nanaimo","Canada","YCD","CYCD",49.054970224899996,-123.869862556,92,"-8","A","America/Vancouver","airport","OurAirports",172.9248327809,1242.2237491507003,"Increase"
34,"Castlegar/West Kootenay Regional Airport","Castlegar","Canada","YCG","CYCG",49.296398162799996,-117.63200378399999,1624,"-8","A","America/Vancouver","airport","OurAirports",166.9284019468,1179.706256877657,"Increase"
35,"Miramichi Airport","Chatham","Canada","YCH","CYCH",47.007801,-65.449203,108,"-4","A","America/Halifax","airport","OurAirports",112.457004,656.8843351410127,"Increase"
36,"Charlo Airport","Charlo","Canada","YCL","CYCL",47.990798999999996,-66.330299,132,"-4","A","America/Halifax","airport","OurAirports",114.32109799999999,665.6851361693105,"Increase"
37,"Kugluktuk Airport","Coppermine","Canada","YCO","CYCO",67.816704,-115.143997,74,"-7","A","America/Edmonton","airport","OurAirports",182.960701,1154.1378407340303,"Increase"
38,"Coronation Airport","Coronation","Canada","YCT","CYCT",52.0750007629,-111.444999695,2595,"-7","A","America/Edmonton","airport","OurAirports",163.5200004579,1117.5900833266169,"Increase"
39,"Chilliwack Airport","Chilliwack","Canada","YCW","CYCW",49.1528015137,-121.93900299100001,32,"-8","A","America/Vancouver","airport","OurAirports",171.0918045047,1222.8708448225948,"Increase"
40,"Clyde River Airport","Clyde River","Canada","YCY","CYCY",70.4860992432,-68.5167007446,87,"-5","A","America/Toronto","airport","OurAirports",139.00279998780002,687.1390672064388,"Increase"
41,"Coral Harbour Airport","Coral Harbour","Canada","YZS","CYZS",64.1932983398,-83.3593978882,210,"-5","A","America/Coral_Harbour","airport","OurAirports",147.552696228,835.8925474248865,"Increase"
42,"Dawson City Airport","Dawson","Canada","YDA","CYDA",64.04309844970703,-139.12800598144528,1215,"-8","A","America/Vancouver","airport","OurAirports",203.17110443115232,1394.4524719767205,"Increase"
43,"Burwash Airport","Burwash","Canada","YDB","CYDB",61.37110137939453,-139.04100036621094,2647,"-8","A","America/Vancouver","airport","OurAirports",200.41210174560547,1393.6755813891027,"Increase"
44,"Princeton Airport","Princeton","Canada","\N","CYDC",49.468101501499994,-120.51100158700001,2298,"-8","A","America/Vancouver","airport","OurAirports",169.9791030885,1208.5461514387634,"Increase"
