"Airline ID","Name","Alias","IATA","ICAO","Callsign","Country","Active"
2,"135 Airways","\N",,"GNL","GENERAL","United States","N"
9,"3D Aviation","\N",,"SEC","SECUREX","United States","N"
10,"40-Mile Air","\N","Q5","MLA","MILE-AIR","United States","Y"
22,"Aloha Airlines","\N","AQ","AAH","ALOHA","United States","Y"
23,"Alaska Island Air","\N",,"AAK","ALASKA ISLAND","United States","N"
24,"American Airlines","\N","AA","AAL","AMERICAN","United States","Y"
25,"Aviation Management Corporation","\N",,"AAM","AM CORP","United States","N"
26,"Atlantis Airlines (USA)","\N",,"AAO","ATLANTIS AIR","United States","N"
31,"Astro Air International","\N",,"AAV","ASTRO-PHIL","United States","N"
35,"Allegiant Air","\N","G4","AAY","ALLEGIANT","United States","Y"
49,"Airborne Express","\N","GB","ABX","ABEX","United States","N"
50,"ABX Air","\N","GB","ABX","ABEX","United States","N"
53,"Academy Airlines","\N",,"ACD","ACADEMY","United States","N"
57,"Air Aurora","\N",,"AAI","BOREALIS","United States","N"
66,"Advance Leasing Company","\N","4G",,,"United States","N"
67,"Aztec Worldwide Airlines","\N","7A",,,"United States","N"
81,"Aerodyne","\N",,"ADY","AERODYNE","United States","N"
89,"Anderson Aviation","\N",,"ADX","ANDAX","United States","N"
109,"Alaska Central Express","\N","KO","AER","ACE AIR","United States","Y"
115,"Airway Express","\N",,"AEX","AVCO","United States","N"
117,"Aerial Transit Company","\N",,"AEZ","AERIAL TRANZ","United States","N"
141,"Air Guam","\N",,"AGM","AIR GUAM","United States","N"
145,"Air Cargo America","\N",,"MVM","PEGASUS","United States","N"
149,"Air Cargo Carriers","\N","2Q","SNC","NIGHT CARGO","United States","Y"
164,"Atlantic Gulf Airlines","\N",,"AGF","ATLANTIC GULF","United States","N"
177,"Atlantic Coast Airlines","\N",,"BLR","BLUE RIDGE","United States","N"
182,"Aero Flight Service","\N",,"AGY","FLIGHT GROUP","United States","N"
188,"Aspen Helicopters","\N",,"AHF","ASPEN","United States","N"
205,"Alpine Air Express","\N","5A","AIP","ALPINE AIR","United States","N"
210,"Airlift International","\N",,"AIR","AIRLIFT","United States","Y"
217,"Air Illinois","\N",,"AIL","AIR ILLINOIS","United States","N"
