"IATA code","ICAO code"
"ND2","N262"
"CRV","S210"
"NDC","S601"
"AT4","AT43"
"AT5","AT45"
"ATR","AT46"
"AT7","AT72"
"AB3","A30B"
"AB6","A306"
"ABB","A3ST"
"310","A310"
"318","A318"
"319","A319"
"31N","A19N"
"320","A320"
"32N","A20N"
"321","A321"
"32Q","A21N"
"330","\N"
"332","A332"
"333","A333"
"\N","A337"
"338","A338"
"339","A339"
"340","\N"
"342","A342"
"343","A343"
"345","A345"
"346","A346"
"350","\N"
"351","A35K"
"359","A359"
"380","\N"
"388","A388"
"ANF","AN12"
"A4F","A124"
"A40","A140"
"A81","A148"
"A58","A158"
"A25","A225"
"AN4","AN24"
"A26","AN26"
"A28","AN28"
"A30","AN30"
"A32","AN32"
"AN7","AN72"
"AR1","RJ1H"
"AR7","RJ70"
"AR8","RJ85"
"146","\N"
"141","B461"
"142","B462"
"143","B463"
"BEH","B190"
"\N","BE58"
"\N","BE55"
"BH2","B212"
"703","B703"
"717","B712"
"B72","B720"
"727","\N"
"721","B721"
"722","B722"
"737","\N"
"7MJ","\N"
"7M7","B37M"
"7M8","B38M"
"7M9","B39M"
"732","B732"
"733","B733"
"734","B734"
"735","B735"
"736","B736"
"73G","B737"
"738","B738"
"739","B739"
"747","\N"
"74B","BLCF"
"741","B741"
"742","B742"
"743","B743"
"744","B744"
"74J","B74D"
"748","B748"
"74L","B74S"
"74R","B74R"
"757","\N"
"752","B752"
"753","B753"
"767","\N"
"762","B762"
"763","B763"
"764","B764"
"777","\N"
"772","B772"
"77L","B77L"
"773","B773"
"77W","B77W"
"778","B778"
"779","B779"
"787","\N"
"78J","B78X"
"788","B788"
"789","B789"
"\N","CL2T"
"\N","CL30"
"CS1","BCS1"
"CS3","BCS3"
"CCX","GLEX"
"B11","BA11"
"H25","H25B"
"H25","H25C"
"ATP","ATP"
"J31","JS31"
"J32","JS32"
"J41","JS41"
"CCJ","CL60"
"CL4","CL44"
"CR1","CRJ1"
"CRK","CRJX"
"CR2","CRJ2"
"CR7","CRJ7"
"CR9","CRJ9"
"\N","C152"
"CN1","C172"
"CN1","C182"
"CN1","C208"
"CN1","C210"
"CNJ","C25B"
"CNJ","C25C"
"CNJ","C56X"
"CNJ","C500"
"CNJ","C550"
"CNJ","C510"
"CNJ","C680"
"CNJ","C750"
"\N","C919"
"SSC","CONC"
"D20","F2TH"
"DF3","FA50"
"DF7","FA7X"
"DF9","F900"
"DHP","DHC2"
"DHR","DH2T"
"DHL","DHC3"
"DHC","DHC4"
"DHT","DHC6"
"DH7","DHC7"
"DH1","DH8A"
"DH2","DH8B"
"DH3","DH8C"
"DH4","DH8D"
"DHD","DOVE"
"DHH","HERN"
"D10","DC10"
"D3F","DC3"
"D6F","DC6"
"D8T","DC85"
"D8L","DC86"
"D8Q","DC87"
"D91","DC91"
"D92","DC92"
"D93","DC93"
"D94","DC94"
"D95","DC95"
"E70","E170"
"E75","\N"
"E7W","E75L"
"E7W","E75S"
"E90","E190"
"E95","E195"
"290","E290"
"295","E295"
"EMB","E110"
"EM2","E120"
"\N","E545"
"ER3","E35L"
"EP1","E50P"
"EP3","E55P"
"ER3","E135"
"ERD","E135"
"ER4","E145"
"FRJ","J328"
"D28","D228"
"D38","D328"
"100","F100"
"F50","F50"
"F70","F70"
"F27","F27"
"F21","F28"
"GRS","G159"
"GR3","G280"
"GJ6","GLF6"
"GJ4","GLF4"
"GJ5","GLF5"
"ACP","AC68"
"ACT","AC90"
"YN2","Y12"
"HS7","A748"
"I14","I114"
"IL8","IL18"
"IL6","IL62"
"IL7","IL76"
"ILW","IL86"
"I93","IL96"
"LRJ","LJ35"
"LRJ","LJ60"
"L10","L101"
"L49","CONI"
"LOH","C130"
"LOE","L188"
"M11","MD11"
"M81","MD81"
"M82","MD82"
"M83","MD83"
"M87","MD87"
"M88","MD88"
"M90","MD90"
"YS1","YS11"
"PN6","P68"
"BNT","TRIS"
"BNI","BN2P"
"PL2","PC12"
"PL6","PC6T"
"\N","P28B"
"\N","P28A"
"PA2","PA31"
"\N","PA44"
"PAG","PA46"
"S20","SB20"
"SF3","SF34"
"SHB","BELF"
"SHS","SC7"
"SH3","SH33"
"SH6","SH36"
"S58","S58T"
"S61","S61"
"S76","S76"
"S92","S92"
"SU9","SU95"
"TU3","T134"
"\N","T144"
"TU5","T154"
"T20","T204"
"YK4","YK40"
"YK2","YK42"
