"age","workclass","fnlwgt","education","educational-num","marital-status","occupation","relationship","race","gender","capital-gain","capital-loss","hours-per-week","native-country","income"
72,"?",132015,"7th-8th",4,"Divorced","?","Not-in-family","White","Female",0,0,6,"United-States","<=50K"
26,"Private",43311,"HS-grad",9,"Divorced","Exec-managerial","Unmarried","White","Female",0,0,40,"United-States","<=50K"
39,"Private",280215,"HS-grad",9,"Divorced","Handlers-cleaners","Own-child","Black","Male",0,0,40,"United-States","<=50K"
39,"Private",118429,"Some-college",10,"Divorced","Sales","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
47,"Local-gov",171807,"HS-grad",9,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
59,"Federal-gov",98984,"Bachelors",13,"Divorced","Adm-clerical","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
43,"Private",179866,"Bachelors",13,"Divorced","Sales","Unmarried","White","Female",0,0,40,"United-States",">50K"
31,"Local-gov",198770,"Bachelors",13,"Divorced","Prof-specialty","Unmarried","White","Female",0,0,60,"United-States","<=50K"
41,"Private",110732,"Some-college",10,"Divorced","Tech-support","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
41,"Private",181020,"HS-grad",9,"Divorced","Handlers-cleaners","Unmarried","White","Female",0,0,40,"United-States","<=50K"
69,"Private",183791,"HS-grad",9,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,25,"United-States","<=50K"
38,"Self-emp-inc",93225,"Bachelors",13,"Divorced","Exec-managerial","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
58,"Local-gov",137249,"HS-grad",9,"Divorced","Exec-managerial","Not-in-family","White","Male",0,0,33,"United-States","<=50K"
44,"Private",284652,"HS-grad",9,"Divorced","Sales","Unmarried","Black","Female",0,0,40,"United-States","<=50K"
54,"Private",59840,"HS-grad",9,"Divorced","Handlers-cleaners","Not-in-family","White","Male",0,0,45,"United-States","<=50K"
47,"Private",411047,"Some-college",10,"Divorced","Adm-clerical","Not-in-family","Black","Female",0,0,37,"United-States","<=50K"
31,"Private",56964,"Some-college",10,"Divorced","Exec-managerial","Unmarried","White","Female",0,0,40,"United-States","<=50K"
57,"Private",26716,"Bachelors",13,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,45,"United-States","<=50K"
45,"Local-gov",185588,"Bachelors",13,"Divorced","Prof-specialty","Unmarried","White","Female",0,0,40,"United-States","<=50K"
38,"Federal-gov",213274,"Assoc-voc",11,"Divorced","Craft-repair","Unmarried","White","Female",6497,0,40,"United-States","<=50K"
34,"Private",147215,"Assoc-voc",11,"Divorced","Tech-support","Unmarried","White","Female",0,0,60,"United-States","<=50K"
62,"Federal-gov",57629,"Some-college",10,"Divorced","Tech-support","Not-in-family","Black","Male",4650,0,40,"United-States","<=50K"
42,"Private",226388,"HS-grad",9,"Divorced","Other-service","Not-in-family","Black","Male",0,0,52,"United-States","<=50K"
31,"Private",241797,"Some-college",10,"Divorced","Tech-support","Unmarried","White","Female",0,0,40,"United-States","<=50K"
42,"Private",195488,"10th",6,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,40,"United-States","<=50K"
38,"Local-gov",34744,"Some-college",10,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,38,"United-States","<=50K"
26,"Private",98114,"HS-grad",9,"Divorced","Exec-managerial","Own-child","White","Female",0,0,40,"United-States","<=50K"
44,"Private",184527,"Bachelors",13,"Divorced","Exec-managerial","Unmarried","White","Female",4934,0,45,"United-States",">50K"
51,"Private",43354,"Some-college",10,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,42,"United-States",">50K"
22,"Private",102258,"Some-college",10,"Divorced","Protective-serv","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
45,"Local-gov",54038,"Masters",14,"Divorced","Prof-specialty","Unmarried","White","Female",0,0,42,"United-States","<=50K"
41,"Private",249254,"HS-grad",9,"Divorced","Adm-clerical","Unmarried","White","Female",3674,0,42,"United-States","<=50K"
44,"Private",196234,"9th",5,"Divorced","Other-service","Unmarried","White","Female",0,0,55,"Dominican-Republic","<=50K"
48,"Private",253596,"Bachelors",13,"Divorced","Exec-managerial","Unmarried","White","Female",0,0,48,"United-States","<=50K"
39,"Private",198654,"HS-grad",9,"Divorced","Exec-managerial","Unmarried","Black","Female",99999,0,40,"United-States",">50K"
31,"Private",106014,"Assoc-voc",11,"Divorced","Craft-repair","Unmarried","White","Male",0,0,40,"United-States","<=50K"
36,"Local-gov",173542,"HS-grad",9,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,40,"United-States","<=50K"
44,"Private",292985,"Some-college",10,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,60,"United-States","<=50K"
57,"Private",50223,"Some-college",10,"Divorced","Handlers-cleaners","Other-relative","White","Male",0,0,25,"United-States","<=50K"
26,"Private",190873,"10th",6,"Divorced","Other-service","Unmarried","White","Female",0,0,40,"Germany","<=50K"
26,"Private",142226,"Bachelors",13,"Divorced","Tech-support","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
49,"Private",220618,"HS-grad",9,"Divorced","Adm-clerical","Unmarried","Black","Female",0,0,37,"United-States","<=50K"
50,"Private",138193,"Bachelors",13,"Divorced","Prof-specialty","Other-relative","White","Female",0,0,50,"United-States",">50K"
38,"Private",365907,"Bachelors",13,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,40,"United-States","<=50K"
36,"Private",175130,"11th",7,"Divorced","Transport-moving","Unmarried","White","Female",0,0,40,"United-States","<=50K"
33,"Private",150309,"HS-grad",9,"Divorced","Craft-repair","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
59,"Private",113838,"HS-grad",9,"Divorced","Other-service","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
28,"State-gov",293628,"Masters",14,"Divorced","Prof-specialty","Not-in-family","White","Male",0,0,10,"?","<=50K"
28,"Private",193122,"HS-grad",9,"Divorced","Sales","Other-relative","White","Male",0,0,50,"United-States","<=50K"
51,"Private",85942,"Some-college",10,"Divorced","Sales","Not-in-family","White","Female",0,0,32,"United-States","<=50K"
31,"Private",174789,"Bachelors",13,"Divorced","Handlers-cleaners","Own-child","White","Male",0,0,40,"United-States","<=50K"
46,"Private",176026,"Bachelors",13,"Divorced","Exec-managerial","Not-in-family","White","Male",27828,0,50,"United-States",">50K"
73,"Private",88594,"HS-grad",9,"Divorced","Exec-managerial","Not-in-family","White","Female",0,0,35,"United-States","<=50K"
41,"Private",311101,"HS-grad",9,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
62,"State-gov",312286,"Prof-school",15,"Divorced","Prof-specialty","Not-in-family","White","Female",0,0,35,"United-States","<=50K"
41,"Private",309990,"Bachelors",13,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,33,"United-States","<=50K"
34,"Private",105141,"Some-college",10,"Divorced","Adm-clerical","Own-child","White","Male",0,0,40,"United-States","<=50K"
