"age","workclass","fnlwgt","education","educational-num","marital-status","occupation","relationship","race","gender","capital-gain","capital-loss","hours-per-week","native-country","income"
25,"Private",226802,"11th",7,"Never-married","Machine-op-inspct","Own-child","Black","Male",0,0,40,"United-States","<=50K"
34,"Private",198693,"10th",6,"Never-married","Other-service","Not-in-family","White","Male",0,0,30,"United-States","<=50K"
29,"?",227026,"HS-grad",9,"Never-married","?","Unmarried","Black","Male",0,0,40,"United-States","<=50K"
24,"Private",369667,"Some-college",10,"Never-married","Other-service","Unmarried","White","Female",0,0,40,"United-States","<=50K"
26,"Private",82091,"HS-grad",9,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,39,"United-States","<=50K"
20,"State-gov",444554,"Some-college",10,"Never-married","Other-service","Own-child","White","Male",0,0,25,"United-States","<=50K"
34,"Private",238588,"Some-college",10,"Never-married","Other-service","Own-child","Black","Female",0,0,35,"United-States","<=50K"
25,"Private",220931,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,43,"Peru","<=50K"
22,"Private",236427,"HS-grad",9,"Never-married","Adm-clerical","Own-child","White","Male",0,0,20,"United-States","<=50K"
32,"Self-emp-not-inc",109282,"Some-college",10,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,60,"United-States","<=50K"
24,"Self-emp-not-inc",188274,"Bachelors",13,"Never-married","Sales","Not-in-family","White","Male",0,0,50,"United-States","<=50K"
22,"Private",248446,"5th-6th",3,"Never-married","Priv-house-serv","Not-in-family","White","Male",0,0,50,"Guatemala","<=50K"
20,"Private",257509,"HS-grad",9,"Never-married","Craft-repair","Own-child","White","Male",0,0,40,"United-States","<=50K"
20,"State-gov",138371,"Some-college",10,"Never-married","Farming-fishing","Own-child","White","Male",0,0,32,"United-States","<=50K"
21,"Private",214399,"Some-college",10,"Never-married","Other-service","Own-child","White","Female",0,1721,24,"United-States","<=50K"
22,"Private",54164,"HS-grad",9,"Never-married","Other-service","Not-in-family","White","Male",14084,0,60,"United-States",">50K"
21,"Private",110677,"Some-college",10,"Never-married","Adm-clerical","Own-child","White","Female",0,0,40,"United-States","<=50K"
30,"Private",101135,"Bachelors",13,"Never-married","Exec-managerial","Not-in-family","White","Female",0,0,50,"United-States","<=50K"
26,"Private",31208,"Masters",14,"Never-married","Exec-managerial","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
33,"Private",281384,"HS-grad",9,"Never-married","Machine-op-inspct","Own-child","White","Female",0,0,40,"United-States","<=50K"
20,"Private",72055,"Some-college",10,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
23,"Private",213734,"Bachelors",13,"Never-married","Exec-managerial","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
20,"Federal-gov",244689,"11th",7,"Never-married","Other-service","Own-child","White","Female",0,0,10,"United-States","<=50K"
24,"Federal-gov",228724,"Some-college",10,"Never-married","Armed-Forces","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
34,"Private",198751,"Masters",14,"Never-married","Other-service","Not-in-family","Amer-Indian-Eskimo","Male",0,0,40,"United-States","<=50K"
20,"Private",479296,"HS-grad",9,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,40,"United-States","<=50K"
25,"Private",235218,"Bachelors",13,"Never-married","Exec-managerial","Own-child","White","Female",0,0,40,"United-States","<=50K"
20,"Private",169699,"HS-grad",9,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
33,"Private",202191,"Some-college",10,"Never-married","Adm-clerical","Unmarried","Black","Female",0,0,35,"United-States","<=50K"
22,"Private",212261,"Some-college",10,"Never-married","Transport-moving","Own-child","Black","Male",0,0,39,"United-States","<=50K"
28,"Private",154236,"HS-grad",9,"Never-married","Transport-moving","Own-child","White","Male",2597,0,40,"United-States","<=50K"
20,"?",30796,"HS-grad",9,"Never-married","?","Own-child","White","Female",0,0,20,"United-States","<=50K"
26,"Private",206721,"HS-grad",9,"Never-married","Handlers-cleaners","Unmarried","White","Male",0,0,40,"United-States","<=50K"
23,"Private",200967,"11th",7,"Never-married","Other-service","Not-in-family","White","Female",0,0,24,"United-States","<=50K"
28,"Private",134813,"HS-grad",9,"Never-married","Prof-specialty","Own-child","White","Male",0,0,40,"United-States","<=50K"
24,"Private",247846,"HS-grad",9,"Never-married","Craft-repair","Unmarried","Black","Female",0,0,40,"United-States","<=50K"
20,"?",334105,"HS-grad",9,"Never-married","?","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
30,"Private",142921,"Assoc-acdm",12,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
34,"Private",159303,"Masters",14,"Never-married","Prof-specialty","Own-child","White","Female",0,0,30,"United-States","<=50K"
28,"Private",216604,"Some-college",10,"Never-married","Other-service","Not-in-family","Black","Male",0,0,14,"United-States","<=50K"
22,"Private",315476,"11th",7,"Never-married","Craft-repair","Unmarried","White","Male",0,0,40,"United-States","<=50K"
25,"Private",126110,"Some-college",10,"Never-married","Adm-clerical","Own-child","White","Female",0,0,40,"United-States","<=50K"
26,"Local-gov",102264,"HS-grad",9,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
22,"Private",537222,"Bachelors",13,"Never-married","Sales","Not-in-family","White","Male",0,0,25,"United-States","<=50K"
29,"Private",142249,"Bachelors",13,"Never-married","Sales","Own-child","White","Male",0,0,40,"United-States","<=50K"
34,"Private",189759,"Masters",14,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
26,"Private",239877,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
34,"Private",198613,"Masters",14,"Never-married","Exec-managerial","Own-child","White","Male",4650,0,40,"United-States","<=50K"
